Sample	Species	RelativeAbundance	Type	Sample_type	Sampling place specific details	Location	Sampling_day	Individual
SL336582	Brevundimonas_diminuta	0.6758444008730716	Skin	Right palm	residence 3 right palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336582	Chryseobacterium_taklimakanense	0.09144593244793016	Skin	Right palm	residence 3 right palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336582	Cutibacterium_acnes	1.1520337760349229	Skin	Right palm	residence 3 right palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336582	Dermacoccus_nishinomiyaensis	0.2641642928489512	Skin	Right palm	residence 3 right palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336582	Gordonia_bronchialis	13.059427139210536	Skin	Right palm	residence 3 right palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336582	Janibacter_indicus	41.62385316858422	Skin	Right palm	residence 3 right palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336582	Micrococcus_luteus	3.1436128889053307	Skin	Right palm	residence 3 right palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336582	Minor/Unclassified	37.40069272316969	Skin	Right palm	residence 3 right palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336582	Moraxella_osloensis	2.378287891679923	Skin	Right palm	residence 3 right palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336582	Xanthomonas_campestris	0.21063778624542193	Skin	Right palm	residence 3 right palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336583	Brevundimonas_diminuta	0.3125234555760907	Skin	Right palm	residence 3 right palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336583	Chryseobacterium_taklimakanense	0.08550067388889916	Skin	Right palm	residence 3 right palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336583	Cutibacterium_acnes	3.3915267309263335	Skin	Right palm	residence 3 right palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336583	Dermacoccus_nishinomiyaensis	0.33699883932291297	Skin	Right palm	residence 3 right palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336583	Gordonia_bronchialis	18.089919296501325	Skin	Right palm	residence 3 right palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336583	Janibacter_indicus	29.11069509002046	Skin	Right palm	residence 3 right palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336583	Micrococcus_luteus	4.430914694041387	Skin	Right palm	residence 3 right palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336583	Minor/Unclassified	39.60693621497436	Skin	Right palm	residence 3 right palm day 9 night	Residence 3	Day 9 night	Subject_3
